,"Gross domestic product 2016, PPP",,,,
,,,,,
,,,,(millions of,
,Ranking,,Economy,international dollars),
,,,,,
CHN,1,,China," 21,417,150 ",
USA,2,,United States," 18,569,100 ",
IND,3,,India," 8,702,900 ",
JPN,4,,Japan," 5,266,444 ",
DEU,5,,Germany," 4,028,362 ",
RUS,6,,Russian Federation," 3,397,368 ",
BRA,7,,Brazil," 3,141,333 ",
IDN,8,,Indonesia," 3,032,090 ",
GBR,9,,United Kingdom," 2,796,732 ",
FRA,10,,France," 2,773,932 ",
ITA,11,,Italy," 2,312,559 ",
MEX,12,,Mexico," 2,278,072 ",
TUR,13,,Turkey," 1,927,693 ",
KOR,14,,"Korea, Rep."," 1,832,073 ",
SAU,15,,Saudi Arabia," 1,756,793 ",
ESP,16,,Spain," 1,686,373 ",
CAN,17,,Canada," 1,597,517 ",
IRN,18,,"Iran, Islamic Rep."," 1,352,814 ",
THA,19,,Thailand," 1,164,928 ",
AUS,20,,Australia," 1,128,908 ",
NGA,21,,Nigeria," 1,091,228 ",
EGY,22,,"Egypt, Arab Rep."," 1,065,179 ",
POL,23,,Poland," 1,055,354 ",
PAK,24,,Pakistan," 1,014,181 ",
ARG,25,,Argentina," 874,071 ",a
NLD,26,,Netherlands," 866,204 ",
MYS,27,,Malaysia," 863,287 ",
PHL,28,,Philippines," 806,539 ",
ZAF,29,,South Africa," 739,419 ",
COL,30,,Colombia," 688,817 ",
ARE,31,,United Arab Emirates," 671,292 ",
IRQ,32,,Iraq," 645,594 ",
DZA,33,,Algeria," 612,133 ",
VNM,34,,Vietnam," 595,524 ",
BGD,35,,Bangladesh," 583,480 ",
CHE,36,,Switzerland," 526,450 ",
BEL,37,,Belgium," 526,364 ",
SGP,38,,Singapore," 492,631 ",
SWE,39,,Sweden," 486,985 ",
ROU,40,,Romania," 465,565 ",
KAZ,41,,Kazakhstan," 449,621 ",
AUT,42,,Austria," 438,049 ",
HKG,43,,"Hong Kong SAR, China"," 430,169 ",
CHL,44,,Chile," 429,123 ",
PER,45,,Peru," 413,759 ",
CZE,46,,Czech Republic," 366,608 ",
UKR,47,,Ukraine," 352,978 ",
IRL,48,,Ireland," 328,785 ",
QAT,49,,Qatar," 327,708 ",
ISR,50,,Israel," 323,947 ",
PRT,51,,Portugal," 316,183 ",
NOR,52,,Norway," 310,321 ",
MMR,53,,Myanmar," 305,301 ",
KWT,54,,Kuwait," 290,529 ",
GRC,55,,Greece," 287,830 ",
DNK,56,,Denmark," 284,813 ",
MAR,57,,Morocco," 280,719 ",b
HUN,58,,Hungary," 261,949 ",
LKA,59,,Sri Lanka," 261,140 ",
FIN,60,,Finland," 236,579 ",
UZB,61,,Uzbekistan," 207,470 ",a
AGO,62,,Angola," 187,261 ",
SDN,63,,Sudan," 187,219 ",
ECU,64,,Ecuador," 184,925 ",
NZL,65,,New Zealand," 183,291 ",
OMN,66,,Oman," 179,488 ",
ETH,67,,Ethiopia," 177,661 ",
BLR,68,,Belarus," 171,703 ",
AZE,69,,Azerbaijan," 168,431 ",
SVK,70,,Slovak Republic," 166,292 ",
DOM,71,,Dominican Republic," 161,957 ",
KEN,72,,Kenya," 152,942 ",
TZA,73,,Tanzania," 150,336 ",c
BGR,74,,Bulgaria," 136,848 ",
TUN,75,,Tunisia," 132,261 ",
GTM,76,,Guatemala," 131,777 ",
GHA,77,,Ghana," 121,108 ",
SRB,78,,Serbia," 102,416 ",
HRV,79,,Croatia," 98,410 ",
TKM,80,,Turkmenistan," 95,586 ",a
PAN,81,,Panama," 92,844 ",
CIV,82,,Côte d'Ivoire," 88,140 ",
LTU,83,,Lithuania," 86,072 ",
JOR,84,,Jordan," 85,576 ",
LBN,85,,Lebanon," 84,067 ",a
CRI,86,,Costa Rica," 80,699 ",
BOL,87,,Bolivia," 78,786 ",
CMR,88,,Cameroon," 77,015 ",
UGA,89,,Uganda," 76,702 ",
URY,90,,Uruguay," 74,478 ",
NPL,91,,Nepal," 71,525 ",
YEM,92,,"Yemen, Rep."," 69,185 ",
SVN,93,,Slovenia," 67,901 ",
ZMB,94,,Zambia," 65,077 ",
AFG,95,,Afghanistan," 65,034 ",a
BHR,96,,Bahrain," 64,935 ",
PRY,97,,Paraguay," 64,405 ",
MAC,98,,"Macao SAR, China"," 63,769 ",
