"name","wiki_link","description"
"Afghanistan","https://en.wikipedia.org/wiki/Afghanistan","Afghanistan (/æfˈɡænɪstæn/ ( listen); Pashto/Dari: افغانستان‎, Pashto: Afġānistān [avɣɒnisˈtɒn, abɣɒnisˈtɒn],[10] Dari: Afġānestān [avɣɒnesˈtɒn]), officially the Islamic Republic of Afghanistan, is a landlocked country located within South Asia and Central Asia.[11][12] The country has a population of 35 million, making it the 42nd most populous country in the world. Afghanistan is bordered by Pakistan in the south and east; Iran in the west; Turkmenistan, Uzbekistan, and Tajikistan in the north; and China in the far northeast - it also borders Gilgit-Baltistan in this region which is claimed by India. Its territory covers 652,000 square kilometers (252,000 sq mi), making it the 41st largest country in the world."
"Albania","https://en.wikipedia.org/wiki/Albania","Albania (/ælˈbeɪniə, ɔːl-/ ( listen) a(w)l-BAY-nee-ə; Albanian: Shqipëri/Shqipëria; Gheg Albanian: Shqipni/Shqipnia or Shqypni/Shqypnia),[6] officially the Republic of Albania (Albanian: Republika e Shqipërisë, pronounced [ɾɛpuˈblika ɛ ʃcipəˈɾiːsə]), is a country in Southern and Southeastern Europe. It spans 28,748 square kilometres (11,100 square miles) and had a total population of 3 million people as of 2016[update]. Albania is a unitary parliamentary constitutional republic with the capital in Tirana, the country's most populous city and main economic and commercial centre, followed by Durrës. The country's other major cities include Vlorë, Sarandë, Shkodër, Berat, Korçë, Gjirokastër and Fier."
"Algeria","https://en.wikipedia.org/wiki/Algeria","Algeria (Arabic: الجزائر‎ al-Jazā'ir; Berber: ⴷⵣⴰⵢⴻⵔ, Dzayer; French: Algérie), officially the People's Democratic Republic of Algeria, is a sovereign state in North Africa on the Mediterranean coast. Its capital and most populous city is Algiers, located in the country's far north. With an area of 2,381,741 square kilometres (919,595 sq mi), Algeria is the tenth-largest country in the world, and the largest in Africa.[11] Algeria is bordered to the northeast by Tunisia, to the east by Libya, to the west by Morocco, to the southwest by the Western Saharan territory, Mauritania, and Mali, to the southeast by Niger, and to the north by the Mediterranean Sea. The country is a semi-presidential republic consisting of 48 provinces and 1,541 communes (counties). Abdelaziz Bouteflika has been President since 1999."
"Andorra","https://en.wikipedia.org/wiki/Andorra","Andorra (/ænˈdɔːrə/ ( listen); Catalan: [ənˈdorə], locally [anˈdɔra]), officially the Principality of Andorra (Catalan: Principat d'Andorra), also called the Principality of the Valleys of Andorra[6] (Catalan: Principat de les Valls d'Andorra), is a sovereign landlocked microstate in Southwestern Europe, located in the eastern Pyrenees mountains and bordered by France in the north, and Spain in the south. Created under a charter in 988, the present principality was formed in 1278. It is known as a principality as it is a diarchy headed by two Co-Princes – the Catholic Bishop of Urgell in Spain and the President of France."
"Angola","https://en.wikipedia.org/wiki/Angola","Angola (/æŋˈɡoʊlə/), officially the Republic of Angola (Portuguese: República de Angola pronounced [ɐ̃ˈɡɔlɐ]; Kikongo, Kimbundu and Umbundu: Repubilika ya Ngola), is a country in Southern Africa. It is the seventh-largest country in Africa, bordered by Namibia to the south, the Democratic Republic of the Congo to the north, Zambia to the east, and the Atlantic Ocean to the west. The exclave province of Cabinda borders the Republic of the Congo and the Democratic Republic of the Congo. The capital and largest city of Angola is Luanda."
"Antigua and Barbuda","https://en.wikipedia.org/wiki/Antigua_and_Barbuda","Antigua and Barbuda (/ænˈtiːɡə ənd bɑːrˈbjuːdə/ ( listen); an-TEE-gǝ ǝnd bar-BEW-dǝ) is a sovereign state in the Americas, lying between the Caribbean Sea and the Atlantic Ocean. It consists of two major islands, Antigua and Barbuda, and a number of smaller islands (including Great Bird, Green, Guiana, Long, Maiden and York Islands and further south, the island of Redonda). The permanent population numbers about 81,800 (at the 2011 Census) and the capital and largest port and city is St. John's, on Antigua."
"Argentina","https://en.wikipedia.org/wiki/Argentina","Argentina (/ˌɑːrdʒənˈtiːnə/ ( listen); Spanish: [aɾxenˈtina]), officially the Argentine Republic[A] (Spanish: República Argentina), is a federal republic in the southern portion of South America. Sharing the bulk of the Southern Cone with its neighbor Chile to the west, the country is also bordered by Bolivia and Paraguay to the north, Brazil to the northeast, Uruguay and the South Atlantic Ocean to the east, and the Drake Passage to the south. With a mainland area of 2,780,400 km2 (1,073,500 sq mi),[B] Argentina is the eighth-largest country in the world, the second largest in Latin America, and the largest Spanish-speaking nation. It is subdivided into twenty-three provinces (Spanish: provincias, singular provincia) and one autonomous city (ciudad autónoma), Buenos Aires, which is the federal capital of the nation (Spanish: Capital Federal) as decided by Congress.[12] The provinces and the capital have their own constitutions, but exist under a federal system. Argentina claims sovereignty over part of Antarctica, the Falkland Islands (Spanish: Islas Malvinas), and South Georgia and the South Sandwich Islands."
"Armenia","https://en.wikipedia.org/wiki/Armenia","Armenia (/ɑːrˈmiːniə/ ( listen), /-ˈmiːnjə/;[23] Armenian: Հայաստան, translit. Hayastan, IPA: [hɑjɑsˈtɑn]), officially the Republic of Armenia (Armenian: Հայաստանի Հանրապետություն, translit. Hayastani Hanrapetut'yun, IPA: [hɑjɑstɑˈni hɑnɾɑpɛtutʰˈjun]), is a country in the South Caucasus region of Eurasia. Located in West Asia[24][25] on the Armenian Highlands, it is bordered by Turkey to the west, Georgia to the north, the de facto independent Republic of Artsakh and Azerbaijan to the east, and Iran and Azerbaijan's exclave of Nakhchivan to the south.[26]"
"Australia","https://en.wikipedia.org/wiki/Australia","Australia (/əˈstreɪliə/ ( listen), /ɒ-/, /-ljə/),[10][11] officially the Commonwealth of Australia,[12] is a sovereign country comprising the mainland of the Australian continent, the island of Tasmania and numerous smaller islands. It is the largest country in Oceania and the world's sixth-largest country by total area. The neighbouring countries are Papua New Guinea, Indonesia and East Timor to the north; the Solomon Islands and Vanuatu to the north-east; and New Zealand to the south-east. Australia's capital is Canberra, and its largest urban area is Sydney."
"Austria","https://en.wikipedia.org/wiki/Austria","Austria (/ˈɒstriə, ˈɔː-/ ( listen);[7][8] German: Österreich [ˈøːstɐˌʁaɪç] ( listen)), officially the Republic of Austria (German: Republik Österreich,  listen (help·info)), is a federal republic and a landlocked country of over 8.7 million people[2] in Central Europe. It is bordered by the Czech Republic and Germany to the north, Hungary and Slovakia to the east, Slovenia and Italy to the south, and Switzerland and Liechtenstein to the west. The territory of Austria covers 83,879 km2 (32,386 sq mi). The terrain is highly mountainous, lying within the Alps; only 32% of the country is below 500 m (1,640 ft), and its highest point is 3,798 m (12,461 ft).[9] The majority of the population speaks local Bavarian dialects of German as their native language,[10] and German in its standard form is the country's official language.[11] Other local official languages are Hungarian, Burgenland Croatian, and Slovene.[9]"
